일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec),지점
1999-04,6.3,1013.055,77.4,12.775,13.35,1.8199999999999998,0.61,1.09,3.175,14.069999999999999,36.63,22103
1999-05,5.317391304347826,1011.7695652173913,86.08695652173913,16.2,15.617391304347825,1.3391304347826087,0.42608695652173917,0.6695652173913044,2.139130434782609,13.443478260869565,45.70434782608696,22103
1999-06,4.224137931034483,1007.4,91.93103448275862,19.720689655172414,19.21379310344828,1.5566666666666669,0.5166666666666667,0.7933333333333333,2.4133333333333336,14.806666666666667,39.36,22103
1999-07,6.974193548387096,1004.667741935484,89.7741935483871,22.42258064516129,22.04516129032258,2.0677419354838706,0.6838709677419355,1.135483870967742,3.303225806451613,22.70967741935484,52.538709677419355,22103
1999-08,5.33225806451613,1006.3290322580646,89.74193548387096,23.683870967741935,23.26774193548387,2.066666666666667,0.6806451612903226,1.0064516129032257,3.0533333333333332,11.113333333333333,28.623333333333335,22103
1999-09,6.971428571428571,1009.7535714285714,83.89285714285714,23.75357142857143,24.467857142857145,1.7851851851851852,0.6392857142857142,0.9357142857142857,2.685185185185185,14.585714285714285,45.66428571428571,22103
1999-10,5.921052631578948,1016.325,64.7,18.985,21.965,1.275,0.395,0.5549999999999999,2.63,24.61,41.315,22103
1999-11,6.18076923076923,1020.1074074074074,63.074074074074076,13.596296296296297,16.085185185185185,1.2037037037037037,0.37037037037037035,0.5518518518518518,1.714814814814815,17.785185185185185,44.851851851851855,22103
1999-12,7.683870967741935,1023.8290322580646,58.225806451612904,8.661290322580646,14.76774193548387,1.4,0.4645161290322581,0.6870967741935484,2.07741935483871,19.348387096774193,50.89032258064517,22103
2000-01,8.641935483870967,1022.3612903225807,65.93548387096774,6.561290322580645,13.26774193548387,1.7451612903225806,0.5741935483870968,0.8064516129032258,2.429032258064516,25.396774193548385,57.07741935483871,22103
2000-02,8.293103448275861,1020.2862068965517,58.241379310344826,4.886206896551724,12.055172413793104,1.524137931034483,0.496551724137931,0.7517241379310345,2.3379310344827586,23.02758620689655,60.63103448275862,22103
2000-03,7.213333333333334,1016.4966666666667,62.9,9.520000000000001,12.22,1.5862068965517242,0.52,0.7799999999999999,2.386206896551724,16.73103448275862,46.97586206896552,22103
2000-04,5.65,1010.0444444444444,76.38888888888889,12.855555555555556,12.577777777777778,1.3631578947368421,0.4473684210526316,0.6578947368421053,2.026315789473684,15.610526315789475,38.6578947368421,22103
2000-05,3.973913043478261,1009.6333333333333,50.5,15.245833333333332,14.308333333333332,0.7913043478260869,0.23043478260869565,0.37083333333333335,1.3,14.308695652173913,35.81666666666667,22103
2000-06,,1004.8,81.0,21.6,,,,,,,,22103
2000-07,4.652631578947369,1008.0954545454545,93.45454545454545,22.168181818181818,23.231578947368423,1.7952380952380953,0.6578947368421053,0.8736842105263158,2.4285714285714284,17.51904761904762,32.857142857142854,22103
2000-08,4.87,1009.875,92.79166666666667,23.337500000000002,27.255000000000003,1.8111111111111111,0.6599999999999999,0.99,2.8,22.14782608695652,34.53478260869565,22103
2000-09,4.792857142857143,1008.8863636363636,73.68181818181819,17.831818181818182,21.66470588235294,0.7,0.2,0.30625,1.09375,54.17,66.08095238095238,22103
2000-10,6.4,1020.4903225806452,67.19354838709677,19.14516129032258,20.448387096774194,1.3612903225806452,0.43870967741935485,0.6709677419354839,2.064516129032258,22.151612903225807,66.93225806451613,22103
2000-11,6.596666666666667,1024.996551724138,82.41379310344827,13.348275862068967,16.362068965517242,1.3862068965517242,0.45,0.6566666666666666,2.0900000000000003,16.106896551724137,46.266666666666666,22103
2000-12,6.745161290322581,1025.3032258064516,21.419354838709676,9.62258064516129,14.964516129032257,1.303225806451613,0.432258064516129,0.635483870967742,2.02258064516129,17.635483870967743,40.20967741935484,22103
2001-01,8.564516129032258,1023.7733333333333,0.0,6.233333333333333,13.586666666666668,1.8903225806451613,0.6322580645161291,0.9419354838709677,2.9387096774193546,16.932258064516127,54.45161290322581,22103
2001-02,6.810714285714285,1024.6037037037038,0.0,3.3777777777777778,12.718518518518518,1.417857142857143,0.4785714285714286,0.7607142857142858,2.35,15.153571428571428,36.989285714285714,22103
2001-03,7.983333333333333,1018.0806451612904,0.0,2.0516129032258066,13.193548387096774,1.6533333333333333,0.5466666666666666,0.85,2.5966666666666667,22.813333333333333,64.03666666666666,22103
2001-04,5.63,1018.5689655172414,23.5,4.682758620689656,14.4,1.4068965517241379,0.45666666666666667,0.67,2.1,14.079310344827586,42.33103448275862,22103
2001-05,4.958064516129032,1013.9064516129032,88.19354838709677,18.0,16.432258064516127,1.3064516129032258,0.4161290322580645,0.6290322580645161,2.0935483870967744,15.2,46.170967741935485,22103
2001-06,4.9206896551724135,1011.2586206896551,91.58620689655173,20.73448275862069,18.96206896551724,1.513793103448276,0.503448275862069,0.7241379310344828,2.262068965517241,23.837931034482757,53.30344827586207,22103
2001-07,3.6193548387096777,1011.7870967741936,92.93548387096774,25.5258064516129,23.493548387096773,1.2774193548387098,0.4129032258064516,0.5548387096774193,1.7258064516129032,19.35483870967742,51.0258064516129,22103
2001-08,6.34516129032258,1012.4741935483871,82.06451612903226,27.822580645161292,27.27741935483871,1.635483870967742,0.529032258064516,0.7483870967741936,2.264516129032258,17.79032258064516,39.05483870967742,22103
2001-09,8.026666666666667,1016.0533333333333,75.43333333333334,24.646666666666665,24.366666666666667,2.02,0.6866666666666668,0.94,2.933333333333333,14.413333333333332,34.663333333333334,22103
2001-10,6.05,1019.5166666666668,73.5,20.533333333333335,21.10833333333333,1.3416666666666668,0.43333333333333335,0.6583333333333333,2.183333333333333,15.558333333333332,38.333333333333336,22103
2001-11,6.069999999999999,1021.7620689655172,60.96551724137931,13.227586206896552,16.520689655172415,1.089655172413793,0.33666666666666667,0.5533333333333333,1.7655172413793105,18.88,55.92333333333333,22103
2001-12,7.957142857142857,1026.1137931034482,61.86206896551724,7.7,13.679310344827586,1.5307692307692307,0.5111111111111112,0.7766666666666667,2.293103448275862,16.153846153846153,51.61034482758621,22103
2002-01,9.27741935483871,1020.8903225806451,70.25806451612904,7.95483870967742,13.364516129032259,2.0516129032258066,0.6774193548387096,0.964516129032258,3.238709677419355,25.30322580645161,67.2709677419355,22103
